genesymbol	log2FoldChange	padj	genename	chromosome_name	idx
YBR085W	-0.00282677918903497	0.816933159064764	AAC3	2	83
YBR086C	1.00578494233005	0.0577216179831943	IST2	2	84
YBR087W	0.462956621064	2.89386288558891e-06	RFC5	2	84
YBR088C	-1.09345460339417	0.483428782318016	POL30	2	84
YBR089C-A	-0.254626118723567	0.967675127843895	NHP6B	2	85
YBR091C	1.56865608191914	0.000925808037590997	TIM12	2	85
YBR092C	0.264277904346719	0.094351415875876	PHO3	2	85
YBR093C	-2.33685584582782	1.30419694157496e-09	PHO5	2	85
YBR094W	-0.456594944236601	0.631622575088264	PBY1	2	86
YBR095C	0.242523671272975	0.491629140215204	RXT2	2	86
YBR096W	0.547102889099028	0.42842105231753	NA	2	87
YBR097W	-1.25064547822808	0.112059672816397	VPS15	2	87
YBR098W	-0.751551943219458	0.512390910646787	MMS4	2	88
YBR101C	0.468203464243563	0.717693140809851	FES1	2	88
YBR102C	-0.390957893982479	0.931003729122101	EXO84	2	89
YBR103W	-0.286238216200174	0.746099819966033	SIF2	2	89
YBR104W	-0.251942164249663	0.903005652679413	YMC2	2	89
YBR105C	-0.372797476945175	0.896380021231708	VID24	2	90
YBR106W	-0.306695053424825	0.11365138809555	PHO88	2	90
YBR107C	1.1297377423886	0.146266585492412	IML3	2	90
YBR108W	0.0313379755875929	0.606276306723648	AIM3	2	90
YBR109C	-0.167911944325533	0.972581116770592	CMD1	2	91
YBR110W	0.603165935624824	0.60018319596467	ALG1	2	91
YBR111C	0.104560793257723	0.961976748269083	YSA1	2	92
YBR111W-A	1.36672090785139	0.116657474925646	SUS1	2	92
YBR112C	1.86389415343018	0.080403860218936	CYC8	2	92
YBR114W	1.36051799800291	0.320013173171809	RAD16	2	93
YBR115C	-0.0247460384076009	0.316455375712533	LYS2	2	93
YBR117C	-1.32795521790733	0.0192639868162849	TKL2	2	94
YBR118W	-0.452736783490523	0.625609930072643	TEF1	2	95
YBR119W	-0.294341766027329	0.913957687388351	MUD1	2	95
YBR120C	2.37154744968207	0.0745406129853386	CBP6	2	96
YBR121C	-0.561574699228067	0.134201347897258	NA	2	96
YBR122C	-1.41326605545977	0.0383216119275301	MRPL36	2	96
YBR123C	1.11359391015856	8.6205352783187e-12	TFC1	2	96
YBR125C	-0.627207991282751	0.42586465009304	PTC4	2	97
YBR126C	0.415018819138725	0.850850929036443	TPS1	2	97
YBR126W-A	0.548188160089788	0.627284391536242	MEO1	2	98
YBR127C	-0.227588490992363	0.938244155902059	VMA2	2	98
YBR128C	-1.09016670775779	0.0950385471091121	ATG14	2	98
YBR130C	2.01909141270983	7.65780183795554e-09	SHE3	2	99
YBR131W	0.687470457677391	0.712122085688097	CCZ1	2	99
YBR132C	0.00713913003611595	0.581207804739279	AGP2	2	99
YBR133C	-0.090703037751725	0.966144615420652	HSL7	2	100
YBR135W	1.59510956705959	0.299516582064035	CKS1	2	100
YBR136W	0.261002209655782	0.009662380229671	MEC1	2	101
YBR137W	-0.894025415230628	0.697149609805328	NA	2	102
YBR138C	1.40155729907738	3.4480864921663e-06	NA	2	102
YBR139W	0.347073861320733	0.445408865268627	NA	2	103
YBR140C	1.2831427810402	0.211134598210444	IRA1	2	103
YBR141C	1.09162923502127	0.210600353801897	BMT2	2	105
YBR142W	1.55994025301468	0.016431302258863	MAK5	2	105
YBR143C	-0.70997077361049	0.223121713060933	SUP45	2	106
YBR144C	-0.380110570090161	0.645599168312071	NA	2	106
YBR145W	-0.0474450283220394	0.966144615420652	ADH5	2	106
YBR146W	-0.311909413015829	0.200331026768924	MRPS9	2	107
YBR148W	-0.109676605095726	0.977245472574538	YSW1	2	107
YBR149W	-3.03129155632671	5.23223801140998e-09	ARA1	2	107
YBR150C	2.50453690973005	0.00981378070326213	TBS1	2	108
YBR151W	0.536573534429032	0.558456274309401	APD1	2	109
YBR152W	-0.262052196503397	0.938244155902059	SPP381	2	109
YBR153W	-1.09423167673848	0.587337778293281	RIB7	2	109
YBR154C	0.37809443033511	0.038401874964293	RPB5	2	109
YBR155W	1.81262633755883	0.338878184804613	CNS1	2	109
YBR156C	-1.08281838793586	0.146266585492412	SLI15	2	110
YBR157C	-0.0850999676468182	0.931622999610799	ICS2	2	110
YBR158W	-1.49321291372918	0.176291683612327	AMN1	2	111
YBR159W	1.39848018136296	0.121082725900117	IFA38	2	111
YBR160W	1.06546026083685	0.275097370516052	CDC28	2	112
YBR161W	1.83593970658528	0.00483045695468846	CSH1	2	112
YBR162C	-0.326136463787628	0.893373969993993	TOS1	2	112
YBR162W-A	1.30470594793553	0.15478024788723	YSY6	2	113
YBR163W	-0.938912854190019	0.359006632322794	EXO5	2	113
YBR164C	0.0925631654609262	0.852405319497717	ARL1	2	113
YBR165W	1.47266083447302	0.437645734871893	UBS1	2	113
YBR166C	0.98237251350114	0.0799754602225317	TYR1	2	113
YBR167C	3.67775619037279	8.48102684363654e-13	POP7	2	114
YBR168W	0.167361825051116	0.95618243265599	PEX32	2	114
YBR169C	0.994932198849385	0.000604099217938113	SSE2	2	114
YBR170C	0.774123190876355	0.508028063605108	NPL4	2	115
YBR171W	0.240392636449233	0.471618826013312	SEC66	2	115
YBR172C	1.5334389260439	0.160649980814407	SMY2	2	115
YBR173C	-0.220602813111279	0.0559318131083618	UMP1	2	116
YBR175W	-0.553022714576983	0.816119805396661	SWD3	2	116
YBR176W	1.46351899076741	0.259667878509734	ECM31	2	116
YBR177C	0.944101696893107	0.468896685374989	EHT1	2	116
YBR179C	-1.23430464962506	0.269099605466486	FZO1	2	117
YBR180W	-0.99893363473123	0.0748094800782785	DTR1	2	117
YBR181C	-0.720018909864974	0.0616173533152205	RPS6A	2	118
YBR182C	-1.32712249523687	0.00756664977138702	SMP1	2	118
YBR182C-A	0.0578118427117608	0.381070476893504	NA	2	119
YBR183W	0.702883371376498	0.351654166178336	YPC1	2	119
YBR184W	0.447456259228816	0.295817759812678	NA	2	119
YBR186W	-1.33198043174389	2.33124156117244e-06	PCH2	2	120
YBR187W	0.433624693950519	0.559956788110897	GDT1	2	120
YBR188C	-0.203335326178751	0.190954630364879	NTC20	2	120
YBR189W	-0.389294535353014	0.0263343463621712	RPS9B	2	120
YBR191W	-0.587842503130259	0.00605941128616485	RPL21A	2	121
YBR192W	-0.213700117117972	0.147488314857619	RIM2	2	121
YBR193C	0.0105945456375952	0.967765836661785	MED8	2	121
YBR194W	-1.77390399392774	0.278189668884935	AIM4	2	122
YBR195C	0.479004340917836	4.24839184604687e-07	MSI1	2	122
YBR196C	0.898696417474456	0.681846327342611	PGI1	2	122
YBR196C-B	-0.600984816082297	0.00799387890188129	NA	2	122
YBR197C	-0.101997844352316	0.893593029587346	NA	2	123
YBR198C	-0.108534890774655	0.317926683288665	TAF5	2	123
YBR199W	0.982940670043603	0.518522606354078	KTR4	2	123
YBR200W	0.91511681086264	0.470868658508549	BEM1	2	124
YBR200W-A	5.13266284585623	4.89913603962498e-17	NA	2	124
YBR201C-A	0.546304040446122	0.507983404361218	NA	2	124
YBR201W	-0.328413030369168	0.704802394965364	DER1	2	124
YBR202W	-0.909214354086656	0.627284391536242	MCM7	2	125
YBR203W	3.99449368179689	4.02448972026146e-17	COS111	2	125
YBR204C	-0.86521853047831	0.624480654403662	LDH1	2	126
YBR205W	-0.486217995906887	0.406667432597082	KTR3	2	126
YBR207W	0.91351998447652	0.577030224604988	FTH1	2	127
